,ASIANPAINT.NS,BAJAJ-AUTO.NS,HCLTECH.NS,INFY.NS,TCS.NS,TITAN.NS
2022-06-07,3507.4227935567324,3221.365905727507,1277.4423160059407,1987.892597491205,3843.225543640804,2530.7120233256355
2022-06-08,3519.5874731219455,3227.6988659816766,1282.6981098511635,1982.8003560050633,3843.182396993285,2529.90800628563
2022-06-09,3507.692535116769,3228.442286481543,1277.8265877322815,1981.0614034757095,3855.384199887776,2530.3198745290274
2022-06-10,3511.865079360782,3234.45801471688,1279.6652829342484,1980.8233683646936,3847.892542945957,2524.8105026621006
2022-06-11,3509.4153134348794,3231.1322833905238,1277.3465485998129,1978.9440846030216,3835.783738024968,2531.491474938901
2022-06-12,3518.7733949912263,3238.5127190304115,1272.797118640601,1985.6535230092097,3850.2863724871554,2522.3351339375376
2022-06-13,3517.8868708782916,3243.4424892036905,1273.129326155001,1985.5969403337506,3849.7240429503813,2536.3115687535255
2022-06-14,3523.673834247062,3250.0377032523957,1272.1529853474406,1980.9169021331406,3833.549206780831,2531.312990484085
2022-06-15,3529.4236296401045,3252.9578391454456,1271.142176105891,1984.2722385939446,3826.9671441740816,2521.870185482553
2022-06-16,3525.333750918134,3253.4608948455366,1275.7207449234966,1978.6769671308189,3816.347781960637,2510.9071277704143
2022-06-17,3529.8216582245527,3258.627696187511,1281.381533710235,1976.4944291554825,3832.7121976274975,2507.9208420391456
2022-06-18,3525.0714509439704,3244.6264471327922,1283.3640044812855,1982.1777017031177,3832.029835512318,2515.0405909011647
2022-06-19,3540.820918923793,3262.9210334559493,1285.6164322987904,1985.477166966705,3822.7100006891314,2523.9902723302225
2022-06-20,3555.9440189689426,3266.435055617193,1292.3273515689827,1984.0105851200594,3823.7424267392576,2518.331370469893
2022-06-21,3569.0672587271392,3265.11999829306,1294.6259602382343,1986.9666791495486,3821.3830304768985,2528.3153911751274
2022-06-22,3573.202831537286,3267.0411435778824,1295.4931173202372,1996.8829685407145,3825.524358401016,2524.0363218665357
2022-06-23,3589.095822040009,3256.1578568898167,1288.5297295986952,1998.4641605820502,3825.7749333259235,2515.671572381897
2022-06-24,3585.699997811947,3263.8400748041895,1289.608753347019,2002.493280171941,3820.1968851265083,2512.861959903357
2022-06-25,3609.418044774187,3269.801744432015,1289.7103468711507,2003.1162964650757,3817.4774436887737,2516.7969012535323
